,Unnamed: 0,EmbryoID,Position,Membrane signal,Cytoplasmic signal
303,3,3,3,-17.125349,-5.5169797
304,4,3,4,-17.125349,-5.5169797
305,5,3,5,-17.12535,-5.5169797
306,6,3,6,313.91248,-5.5169797
307,7,3,7,-17.125349,-5.5169797
308,8,3,8,-17.125349,-5.5169797
309,9,3,9,-17.125349,-5.5169797
310,10,3,10,-17.125349,-5.5169797
311,11,3,11,-17.125349,-5.5169797
312,12,3,12,-17.125349,-5.5169797
313,13,3,13,-17.125349,-5.5169797
314,14,3,14,-17.12535,-5.5169797
315,15,3,15,-17.125349,-5.5169797
316,16,3,16,70.28406,-5.5169797
317,17,3,17,-17.125349,-5.5169797
318,18,3,18,-17.12535,-5.5169797
319,19,3,19,-17.125349,-5.5169797
320,20,3,20,-17.125349,-5.5169797
321,21,3,21,-17.125349,-5.5169797
322,22,3,22,-17.12535,-5.5169797
323,23,3,23,-17.125349,-5.5169797
324,24,3,24,-17.125349,-5.5169797
325,25,3,25,-17.125349,-5.5169797
326,26,3,26,-17.125349,-5.5169797
327,27,3,27,-17.125349,-5.5169797
328,28,3,28,-17.12535,-5.5169797
